"Εταιρεία H-ID"	"Εταιρεία Record Title"	"Ονομα εταιρείας"	Κλάδοι	"Τύπος υποδομών"	Αντικείμενο	Ιστοσελίδα	"Στοιχεία Επικοινωνίας"	"Εταιρείες ομίλου (Εταιρεία) H-ID"	"Εταιρείες ομίλου (Εταιρεία) Record Title"	Κερδοφορία	"Τίτλος είδησης"	"Url Είδησης"	"Σημειώσεις εταιρείες"
3	"iComat
Πολεμική Βιομηχανία"	iComat	"Πολεμική Βιομηχανία"		"Ανθρακονήματα / σύνθετα υλικά"	https://icomat.co.uk/							
4	"Hack The Box
Πολεμική Βιομηχανία"	"Hack The Box"	"Πολεμική Βιομηχανία|Νέες Τεχνολογίες"		"«Επιθετική κυβερνοασφάλεια» / εκπαίδευση στην κυβερνοασφάλεια (ισχυρίζεται ότι έχουν περάσει από το hub 500.000 άτομα)"	https://www.endeavor.org.gr/companies/hack-the-box							
23	"Lockheed Martin
Πολεμική Βιομηχανία"	"Lockheed Martin"	"Πολεμική Βιομηχανία"										
28	"Velocity Partners
Χρηματοπιστωτικό"	"Velocity Partners"	"Τράπεζες - Χρηματοπιστωτικό"		"Εταιρεία κεφαλαίων"								
30	"Velos Rotors
Πολεμική βιομηχανία"	"Velos Rotors"	"Πολεμική Βιομηχανία"		Drones								
37	"Marathon Venture Capital
Χρηματοπιστωτικό"	"Marathon Venture Capital"	"Τράπεζες - Χρηματοπιστωτικό"		"Χορήγηση κεφαλαίων"								
46	"Delian Alliance Industries
Πολεμική βιομηχανία"	"Delian Alliance Industries"	"Πολεμική Βιομηχανία"		"«Εταιρεία άμυνας με επίκεντρο την τεχνητή νοημοσύνη». Συστήματα παρακολούθησης drones και πλοίων. Ανάπτυξη «αυτόνομων πύργων παρατήρησης» σε σύνορα, δάση κτλ, μαζική επιτήρηση κ.α."	https://www.delian.ai/	"London, UK

info.uk@delian.ai


Athens, GR

+30 2160037848


info@delian.ai"						
71	Huawei	Huawei	"Νέες Τεχνολογίες|Ενέργεια"										
74	"FARIA Renewables
Ενέργεια / ΑΠΕ"	"FARIA Renewables"	Ενέργεια		Μπαταρίες	https://fariarenewables.com/	"Get in Touch
LOCATION
31 – 33, Karolou Ntil Street, 546 23, Thessaloniki, Greece

PHONE
T. +30.2314 437 715
T. +30.2314 437 778

EMAIL
contact@fariarenewables.com"						
78	"Metlen Energy and Metals
Ενέργεια,Μεταλλουργία,Υποδομές"	"Metlen Energy and Metals"	"Ενέργεια|Εξόρυξη|Βιομηχανία|Πολεμική Βιομηχανία"		"Δραστηριοποιείται στους τομείς της ενέργειας, της μεταλλουργίας και των υποδομών."	https://www.metlengroup.com/						https://www.mononews.gr/business/evangelos-mytilinaios-oi-5-axones-anaptyxis-tis-metlen-to-schedio-gia-ebitda-2-dis-evro-kai-eisagogi-sto-lse	
91	"Alter Ego"	"Alter Ego"	ΜΜΕ		"Ομιλος ΜΜΕ"	https://www.alteregomedia.org/	"Λεωφόρος Συγγρού 340, 17673 Καλλιθέα, Αθήνα
Τ +30 210 754 7000
Ε info@alteregomedia.org"						
97	"Motor Oil Hellas
Ενέργεια"	"Motor Oil Hellas"	Βιομηχανία|Ενέργεια		"Διύληση πετρελαίου κ.ά."	https://www.moh.gr/							
102	"Ελληνικά Πετρέλαια (ΕΛΠΕ)
Ενέργεια"	"Ελληνικά Πετρέλαια (ΕΛΠΕ)"	Ενέργεια|Βιομηχανία		"Διύλιση, εμπορία και προμήθεια πετρελαιοειδών προϊόντων"	helpe.gr							
104	"Δημόσια Επιχείρηση Ηλεκτρισμού (ΔΕΗ)
Ενέργεια"	"Δημόσια Επιχείρηση Ηλεκτρισμού (ΔΕΗ)"	Ενέργεια		"Η μεγαλύτερη εταιρεία παραγωγής και προμήθειας ηλεκτρικής ενέργειας στην Ελλάδα"	dei.gr							
105	"Οργανισμός Τηλεπικοινωνιών Ελλάδος (ΟΤΕ)
Τηλεπικοινωνίες"	"Οργανισμός Τηλεπικοινωνιών Ελλάδος (ΟΤΕ)"	Τηλεπικοινωνίες		"Παρέχει υπηρεσίες τηλεπικοινωνιών, όπως σταθερή και κινητή τηλεφωνία, καθώς και υπηρεσίες διαδικτύου"	ote.gr							
106	"Alpha Bank
Τραπεζικός τομέας"	"Alpha Bank"	"Τράπεζες - Χρηματοπιστωτικό"		"Μία από τις μεγαλύτερες τράπεζες στην Ελλάδα, προσφέροντας ευρύ φάσμα χρηματοοικονομικών υπηρεσιών"	alpha.gr	"Σταδίου 40, Ομόνοια, 105 64 Αθήνα Αττικής

Alpha Αστικά Ακίνητα	210 326 3929
Generali	 210 809 6100
Alpha Leasing	210 336 7900
ΑlphaTrade	210 370 5700
ALPHA ASSET MANAGEMENT Α.Ε.Δ.Α.Κ. 210 374 2800"						
107	"Τράπεζα Πειραιώς
Τραπεζικός τομέας"	"Τράπεζα Πειραιώς"	"Τράπεζες - Χρηματοπιστωτικό"			piraeusbank.gr							
109	"Εθνική Τράπεζα της Ελλάδος
Τραπεζικός τομέας"	"Εθνική Τράπεζα της Ελλάδος"	"Τράπεζες - Χρηματοπιστωτικό"		"Προσφέρει πλήρες φάσμα τραπεζικών υπηρεσιών, συμπεριλαμβανομένων καταθέσεων, δανείων και επενδυτικών προϊόντων."	nbg.gr							
110	"Eurobank Ergasias
Τραπεζικός τομέας"	"Eurobank Ergasias"	"Πολεμική Βιομηχανία|Τράπεζες - Χρηματοπιστωτικό"		"Εστιάζει σε τραπεζικές υπηρεσίες, όπως καταθέσεις, δάνεια και επενδυτικά προϊόντα"	eurobank.gr	"EUROBANK - ΚΕΝΤΡΙΚΟ ΚΑΤΑΣΤΗΜΑ - Αθήνα
Τράπεζα, Αθήνα

2144059762
Ωράριο	
Όθωνος 8, Σύνταγμα, 105 63 Αθήνα Αττικής"			"Eurobank is a financial organisation that operates in Greece, Cyprus, Luxembourg, Bulgaria and the UK. As of December 2018, the Eurobank Group counts, €58 billion in assets, 653 customer service locations in Greece and abroad, and 13,162 employees.[7][8]"			
111	"Σκλαβενίτης
Εμπόριο - Σούπερ Μάρκετ - Αλυσίδες Τροφίμων"	Σκλαβενίτης	"Σούπερ μάρκετ - Τρόφιμα"		"Αλυσίδα σούπερ μάρκετ που προσφέρει ευρύ φάσμα προϊόντων λιανικής, όπως τρόφιμα και είδη οικιακής χρήσης."	sklavenitis.gr							
112	"ΑΒ Βασιλόπουλος
Εμπόριο - Σούπερ Μάρκετ - Αλυσίδα τροφίμων"	"ΑΒ Βασιλόπουλος"	"Σούπερ μάρκετ - Τρόφιμα"		"Αλυσίδα σούπερ μάρκετ με ποικιλία προϊόντων διατροφής και καθημερινής χρήσης."	ab.gr							
113	"ΟΠΑΠ
Τυχερά Παιχνίδια"	ΟΠΑΠ	"Τυχερά Παιχνίδια"		"Οργανισμός που διαχειρίζεται τυχερά παιχνίδια και στοιχήματα στην Ελλάδα."	opap.gr							
117	"Viohalco
Μεταλλουργεία,Ενέργεια"	Viohalco	Ενέργεια|Εξόρυξη		"Όμιλος εταιρειών με δραστηριότητες στη μεταλλουργία, παράγοντας προϊόντα αλουμινίου, χαλκού και χάλυβα."	viohalco.com							
118	"Τιτάν
Εξορύξεις - Βιομηχανικά Υλικά - Βιομηχανία"	Τιτάν	Βιομηχανία|Εξόρυξη		"Βιομηχανία παραγωγής τσιμέντου και δομικών υλικών με διεθνή παρουσία."	titan.gr							
119	"ΓΕΚ ΤΕΡΝΑ
Κατασκευές,Ενέργεια,Παραχωρήσεις"	"ΓΕΚ ΤΕΡΝΑ"	Υποδομές|Κατασκευές|Ενέργεια		"Εταιρεία με δραστηριότητες στους τομείς των κατασκευών, της ενέργειας και των παραχωρήσεων."	gekterna.com							
120	"Intracom Holdings
Τεχνολογία,Τηλεπικοινωνίες,Κατασκευές"	"Intracom Holdings"	Υποδομές|Κατασκευές		"Όμιλος με δραστηριότητες στην τεχνολογία, τις τηλεπικοινωνίες και τις κατασκευές."	intracom.com							
121	"Ελληνικά Γαλακτοκομεία
Τρόφιμα - Αγροτική Παραγωγή"	"Ελληνικά Γαλακτοκομεία"	"Σούπερ μάρκετ - Τρόφιμα"		"Παράγει και διανέμει γαλακτοκομικά προϊόντα με γνωστές μάρκες όπως Όλυμπος και Τυράς."	hellenicdairies.com		122|123	"Ολυμπος
Τρόφιμα - Αγροτική παραγωγή|Τυράς
Τρόφιμα - Αγροτική Παραγωγή"				
122	"Ολυμπος
Τρόφιμα - Αγροτική παραγωγή"	Ολυμπος	"Σούπερ μάρκετ - Τρόφιμα"		Γαλακτοκομικά								
123	"Τυράς
Τρόφιμα - Αγροτική Παραγωγή"	Τυράς	"Σούπερ μάρκετ - Τρόφιμα"		Γαλακτοκομικά								
124	"Coca-Cola 3E
Τρόφιμα"	"Coca-Cola 3E"	"Σούπερ μάρκετ - Τρόφιμα"		"Εμφιαλωτής προϊόντων της Coca-Cola, προσφέροντας αναψυκτικά και άλλα ποτά"	coca-colahellenic.com	"https://gr.coca-colahellenic.com/
-----
ΚΕΝΤΡΙΚΑ ΓΡΑΦΕΙΑ COCA-COLA ΤΡΙΑ ΕΨΙΛΟΝ
Λεωφ. Κηφισίας 60, 151 25, Μαρούσι 
210 6381700
-----
ΕΡΓΟΣΤΑΣΙΟ ΣΧΗΜΑΤΑΡΙ MEGA-PLANT
Σχηματάρι Βοιωτίας, 32009
22620 51210
------
ΕΡΓΟΣΤΑΣΙΟ ΦΥΣΙΚΟΥ ΜΕΤΑΛΛΙΚΟΥ ΝΕΡΟΥ ΑΥΡΑ 
29 Τέμενη, 25100, Αίγιο 

26910 68231
--------
ΕΡΓΟΣΤΑΣΙΟ ΗΡΑΚΛΕΙΟ ΚΡΗΤΗΣ 
 Ηράκλειο Κρήτης, 71110 

2810 307690
--------
ΕΡΓΟΣΤΑΣΤΙΟ ΤΣΑΚΙΡΗΣ 
Θέση Μούλκια Αταλάντη Φθιώτιδος, 352 00 
22330 32510
---------

ΓΡΑΜΜΗ ΕΞΥΠΗΡΕΤΗΣΗΣ ΚΑΤΑΝΑΛΩΤΩΝ
 

Για τα προϊόντα της The Coca-Cola Company: Τηλέφωνο 800 11 55 800

Για την Amita & Frulite: Τηλέφωνο 800 11 55 801

Για το Φυσικό Μεταλλικό Νερό ΑΥΡΑ: Τηλέφωνο 800 11 55 802

Για τα Tsakiris snacks: Τηλέφωνο 800 11 53 000

Γα τα Premium Spirits & Costa Coffee: Τηλέφωνο 800 11 82 801"						
125	"Nestlé Hellas
Τρόφιμα"	"Nestlé Hellas"	"Σούπερ μάρκετ - Τρόφιμα"		"Παράγει και διανέμει τρόφιμα και ποτά, όπως καφέδες, σοκολάτες και παιδικές τροφές."	nestle.gr							
126	"ΙΟΝ Α.Ε
Τρόφιμα"	"ΙΟΝ Α.Ε"	"Σούπερ μάρκετ - Τρόφιμα"		"Ελληνική εταιρεία παραγωγής σοκολάτας και ζαχαρωδών προϊόντων."	ion.gr							
