Επωνυμία ,Πωλήσεις ,Πάγια
ΕΛΛΗΝΙΚΑ ΠΕΤΡΕΛΑΙΑ ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,11648491000,5056145000
ΜΟΤΟΡ ΟΙΛ (ΕΛΛΑΣ) ΔΙΥΛΙΣΤΗΡΙΑ ΚΟΡΙΝΘΟΥ Α.Ε.,8412789000,4494158000
Δημόσια Επιχείρηση Ηλεκτρισμού Ανώνυμη Εταιρεία,6606765000,15945480000
ΕΛΛΗΝΙΚΕΣ ΥΠΕΡΑΓΟΡΕΣ ΣΚΛΑΒΕΝΙΤΗΣ ΑΝΩΝΥΜΗ ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ,4314862000,3139049000
ΑΛΦΑ ΤΡΑΠΕΖΑ ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ,4284000000,68255000000
Τράπεζα Eurobank Ανώνυμη Εταιρεία,3892000000,63395000000
Metlen Energy & Metals Α.Ε.,3801741000,7003256000
ΟΡΓΑΝΙΣΜΟΣ ΤΗΛΕΠΙΚΟΙΝΩΝΙΩΝ ΤΗΣ ΕΛΛΑΔΟΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ,3219400000,5500800000
ΕΛΛΗΝΙΚΑ ΚΑΥΣΙΜΑ ΟΡΥΚΤΕΛΑΙΑ ΜΟΝΟΠΡΟΣΩΠΗ ΑΝΩΝΥΜΟΣ ΒΙΟΜΗΧΑΝΙΚΗ KAI ΕΜΠΟΡΙΚΗ ΕΤΑΙΡΕΙΑ,3128510000,796677000
ΤΡΑΠΕΖΑ ΠΕΙΡΑΙΩΣ Ανώνυμος Εταιρεία,3110000000,79657000000
CORAL ΑΝΩΝΥΜΟΣ ΕΤΑΙΡΕΙΑ ΠΕΤΡΕΛΑΙΟΕΙΔΩΝ ΚΑΙ ΧΗΜΙΚΩΝ ΠΡΟΙΟΝΤΩΝ,2882082000,673728000
ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.,2875000000,72092000000
ΕΛΙΝΟΙΛ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΠΕΤΡΕΛΑΙΩΝ ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ,2735249491,301225613
test2,34234234234,455345345345
